"priority_group","term","estimate","std.error","statistic","p.value"
"emergency (1-2)","(Intercept)",8.87615344048627,2.07993541705212,4.26751396592227,2.83059001032353e-05
"emergency (1-2)","year_month_num",-7.2623491299545e-05,0.00011341144360307,-0.640354174078948,0.522543246562118
"emergency (1-2)","agencySPD",-11.0997931656954,2.94147287565522,-3.77354938662248,0.000202099840726287
"emergency (1-2)","year_month_num:agencySPD",0.000455804471871687,0.000160388001671772,2.84188634511747,0.00486402489661065
"investigative (3-4)","(Intercept)",2.93475988735464,0.652979663738973,4.49441238422366,1.07820300512779e-05
"investigative (3-4)","year_month_num",0.000389399908362907,3.56046470005508e-05,10.9367720555376,6.44547285773416e-23
"investigative (3-4)","agencySPD",3.24275575888055,0.923452696413473,3.51155589395628,0.000530571703619178
"investigative (3-4)","year_month_num:agencySPD",-0.00035375561086382,5.03525746716852e-05,-7.02557144635442,2.11533996700595e-11
"service (5)","(Intercept)",-2.44811764488766,2.06490809673749,-1.18558189042681,0.236940761353399
"service (5)","year_month_num",0.000924597283996832,0.000112592057541178,8.2119227962299,1.27200271725825e-14
"service (5)","agencySPD",9.77225205842893,2.92022103546016,3.3464083505203,0.000947859937422048
"service (5)","year_month_num:agencySPD",-0.000752905279892269,0.000159229214790226,-4.7284368065507,3.82849125321609e-06
