"term","estimate","std.error","statistic","p.value"
"(Intercept)",5.92326826966654,0.621265946691836,9.53419111607067,1.61488467087947e-18
"year_month_num",0.000242709332750991,3.38754113700366e-05,7.1647641441093,9.18496752926109e-12
"agencySPD",-0.495999171744545,0.878602727652149,-0.56453179137058,0.572910862233896
"year_month_num:agencySPD",-0.000142476080172416,4.79070661904732e-05,-2.97400971301284,0.00323408337486882
